Stations,2018,2016,2014,2002
103rd Street (Beverly Hills),734,759,767,977
103rd Street (Rosemoor),36,37,43,82
107th Street,27,19,31,28
107th Street (Beverly Hills),395,451,413,668
111th Street,31,24,19,22
111th Street (Morgan Park),548,587,601,875
115th Street (Morgan Park),136,170,173,269
119th Street,269,279,327,405
11th Street (Michigan City),-,-,-,111
123rd Street,53,45,53,67
143rd Street (Orland Park),591,548,493,241
147th Street (Sibley Boulevard),829,984,"1,060","1,349"
153rd Street (Orland Park),544,604,621,512
179th Street (Orland Park),208,201,190,166
18th Street,23,42,41,16
211th Street (Lincoln Highway),527,727,855,"1,241"
27th Street,12,30,46,97
35th Street / 'Lou' Jones / Bronzeville,245,227,249,-
47th Street (Kenwood),94,82,94,72
53rd Street (Hyde Park),671,642,496,582
55th-56th-57th Street,"1,133","1,542","1,677",502
59th Street (University of Chicago),812,674,484,"1,497"
63rd Street,167,299,154,94
67th St.,-,-,-,-
75th Street (Grand Crossing),14,28,15,20
79th Street (Chatham),50,59,57,120
80th Avenue (Tinley Park),"2,064","2,050","1,932","2,297"
83rd Street,74,103,113,405
83rd Street (Avalon Park),56,40,50,95
87th Street,106,90,117,245
87th Street (Woodruff),56,41,56,48
91st Street (Beverly Hills),368,364,359,542
91st Street (Chesterfield),23,27,26,44
93rd Street (South Chicago),472,619,652,"1,108"
95th Street (Beverly Hills),443,423,527,649
95th Street (Chicago State University),24,26,43,43
99th Street (Beverly Hills),645,725,621,759
Antioch,192,184,227,169
Arlington Heights,"2,506","2,578","2,349","2,496"
Arlington Park,"1,738","1,697","1,672","1,665"
Ashburn,229,218,255,353
Ashland Avenue,97,111,98,137
Aurora,"1,856","1,936","2,107","1,646"
Barrington,"1,725","1,738","1,717","1,724"
Bartlett,988,"1,071","1,081","1,027"
Bellwood,145,148,165,221
Belmont,"1,408","1,472","1,325","1,450"
Belmont Ave. (Franklin Park),24,32,29,-
Bensenville,414,357,433,458
Berkeley,145,140,161,162
Berwyn,669,632,732,844
Beverly Shores,-,-,-,39
Big Timber Road,699,789,782,581
Blue Island,197,181,169,237
Blue Island (Vermont St. - Beverly Branch),116,113,124,-
Blue Island (Vermont St. - Main Line),479,575,521,931
Braeside,410,442,373,340
Brainerd,265,303,322,499
Brookfield,546,572,607,660
Bryn Mawr,73,112,88,225
Buffalo Grove,695,590,621,547
Burr Oak,89,117,124,179
Calumet,"1,077",989,"1,187","1,117"
Carroll Avenue (Michigan City),-,-,-,158
Cary,883,941,873,"1,035"
Central Street (Evanston),"1,346","1,428","1,197","1,276"
Cheltenham (79th Street),47,55,79,174
Chicago Ridge,372,339,332,372
Cicero,136,185,196,281
Clarendon Hills,799,806,808,885
Clybourn,"1,674","1,831","1,599","1,020"
Clyde (C),-,-,-,142
College Avenue,"1,059",918,"1,057",840
Congress Park,368,290,250,118
Cragin (C),-,-,-,58
Crystal Lake,"1,138","1,199","1,238","1,579"
Cumberland,442,455,431,393
Davis Street (Evanston),"1,876","1,939","2,070","1,439"
Dee Road,594,515,570,388
Deerfield,"1,133","1,282","1,247","1,286"
Des Plaines,"1,209","1,142","1,221",991
Dune Park,-,-,-,429
East Chicago,-,-,-,"1,441"
Edgebrook,701,609,504,624
Edison Park,752,694,646,593
Elburn,336,307,345,-
Elgin,411,436,461,554
Elmhurst,"2,540","2,344","2,313","1,785"
Elmwood Park,388,405,396,405
Fairview Avenue (Downers Grove),415,458,425,445
Flossmoor,859,824,830,"1,018"
Forest Glen,376,343,351,332
Fort Sheridan,259,274,266,285
Fox Lake,322,356,442,475
Fox River Grove,462,451,410,449
Franklin Park,392,458,399,506
Galewood,246,279,260,324
Gary / Chicago Airport,-,-,-,209
Gary Metro Center,-,-,-,537
Geneva,"1,742","1,708","1,732","1,698"
Gladstone Park,180,195,169,124
Glen Ellyn,"1,929","1,734","1,765","1,665"
Glencoe,732,715,457,724
Glenview,"1,462","1,439","1,444","1,390"
Golf,355,375,201,264
Grand / Cicero,80,96,106,-
Grayland,357,339,314,282
Grayslake,470,494,509,871
Great Lakes,262,293,264,156
Gresham,313,318,395,599
Halsted Street,115,120,92,41
Hammond,-,-,-,"1,126"
Hanover Park,"1,238","1,486","1,414","1,431"
Hanson Park,58,60,46,53
Harlem Avenue,451,421,497,532
Harvard,265,221,275,259
Harvey,471,542,640,"1,125"
Hazel Crest,261,412,379,608
Healy,323,345,322,309
Hegewisch,-,-,-,"1,526"
Hermosa (C),-,-,-,100
Hickory Creek,"1,079",999,992,"1,135"
Highland Park,"1,005",978,875,"1,107"
Highlands,202,203,167,213
Highwood,242,293,314,311
Hinsdale,"1,155","1,160","1,168","1,047"
Hollywood,120,120,95,129
Homewood,"1,171","1,308","1,244","1,466"
Hubbard Woods,396,374,245,397
Hudson Lake,-,-,-,5
Indian Hill,387,382,201,368
Ingleside,63,74,89,104
Irving Park,439,443,474,451
Itasca,555,601,564,518
Ivanhoe,520,628,697,"1,153"
Jefferson Park,510,656,599,749
Joliet,996,977,"1,110","1,028"
Kedzie,41,52,56,36
Kenilworth,501,500,305,435
Kenosha,345,276,358,341
Kensington (115th Street),"1,136","1,120","1,081","1,352"
La Fox,295,276,313,-
LaGrange Road,"1,452","1,340","1,468","1,353"
LaSalle Street,"12,606","12,656","13,239","16,868"
LaVergne,174,187,191,201
Lake Bluff,647,681,626,504
Lake Cook Road,"1,086","1,271","1,263","1,154"
Lake Forest,747,717,727,726
Lake Forest (West),607,548,570,576
Lake Villa,130,148,176,143
Laraway Road,19,24,27,-
Lemont,455,489,456,407
Libertyville,801,825,826,"1,119"
Lisle,"1,895","1,789","1,993","2,204"
Lockport,344,412,352,303
Lombard,"1,502","1,343","1,321","1,213"
Long Lake,93,96,105,102
Longwood (95th Street),3,60,85,133
Main Street (Downers Grove),"2,492","2,376","2,473","2,371"
Main Street (Evanston),"1,130","1,133","1,093",769
Manhattan,19,22,29,-
Mannheim,35,31,30,13
Mars,144,142,115,109
Matteson,591,507,592,922
Mayfair,281,284,340,254
Maywood,87,82,81,93
McCormick Place,124,108,92,118
McHenry,85,96,114,140
Medinah,439,573,520,399
Melrose Park,86,87,103,109
Midlothian,938,"1,015",950,"1,179"
Millennium Station,"9,292","9,798","10,353","17,896"
Miller,-,-,-,449
Mokena,559,604,572,728
Mont Clare,303,335,291,393
Morton Grove,967,969,"1,054",943
Mount Prospect,"1,879","1,816","1,774","1,655"
Mundelein,276,277,304,235
Naperville,"4,015","4,107","4,002","3,734"
National Street,584,642,700,551
New Lenox,"1,046","1,115","1,146","1,076"
North Chicago,170,170,232,190
North Glenview,"1,163","1,070","1,097",448
Northbrook,"1,259","1,392","1,334","1,349"
Norwood Park,365,359,350,269
O'Hare Transfer,113,123,144,55
Oak Forest,"1,091","1,136","1,141","1,591"
Oak Lawn Patriot,"1,186","1,329","1,246",788
Oak Park (Marion Street),991,905,"1,129",960
Ogden Dunes,-,-,-,218
Ogilvie Transportation Center,"42,500","42,412","39,552","36,731"
Olympia Fields,679,643,665,186
Palatine,"2,482","2,378","2,334","1,894"
Palos Heights,232,238,254,-
Palos Park,424,432,418,214
Park Ridge,"1,168","1,043",954,932
Pingree Rd.,707,751,744,-
Prairie Crossing,368,422,451,-
Prairie Crossing (Libertyville),87,102,125,76
Prairie Street,30,20,46,43
Prairie View,415,388,345,255
Prospect Heights,304,266,277,240
Racine Avenue,28,31,33,43
Ravenswood,"2,630","2,721","2,363","1,455"
Ravinia,326,295,238,330
Richton Park,"1,059","1,179","1,315","1,579"
River Forest,448,438,434,390
River Grove,333,316,310,336
Riverdale,146,180,201,500
Riverside,493,499,501,438
Robbins,65,89,77,113
Rogers Park,"1,393","1,389","1,498",973
Romeoville,148,-,-,-
Roosevelt Road,370,484,429,413
Roselle,"1,448","1,455","1,277","1,298"
Rosemont,27,35,33,-
Round Lake,395,417,513,566
Round Lake Beach,111,115,157,157
Route 59,"6,339","5,781","5,874","5,001"
Schaumburg,"1,583","1,727","1,737","1,609"
Schiller Park,41,36,29,-
South Bend Airport,-,-,-,105
South Shore,121,182,179,428
State Street,41,30,54,72
Stewart Ridge,19,36,37,75
Stone Avenue (LaGrange),946,"1,046","1,026",999
Stony Island,99,109,161,236
Summit,101,100,86,79
Tinley Park,917,"1,060",983,"1,193"
Union Station,"54,882","55,494","54,422","49,883"
University Park,808,907,939,"1,004"
Van Buren Street,"2,734","3,141","3,422","6,896"
Vernon Hills,409,370,435,284
Villa Park,870,828,841,914
Washington Heights,101,107,168,249
Washington St. (Grayslake),86,110,122,-
Waukegan,764,911,910,893
West Chicago,586,527,576,585
West Hinsdale,306,376,351,317
West Pullman,13,22,21,34
Western Avenue (18th),57,69,78,77
Western Avenue (Grand),836,824,851,632
Western Springs,"1,134","1,133","1,113","1,065"
Westmont,"1,083","1,058","1,070","1,243"
Wheaton,"1,618","1,577","1,506","1,655"
Wheeling,348,353,333,235
Willow Springs,148,115,95,142
Wilmette,"1,653","1,614","1,120","1,363"
Windsor Park,68,95,100,313
Winfield,496,507,517,449
Winnetka,754,737,485,630
Winthrop Harbor,59,61,70,77
Wood Dale,596,624,608,551
Woodstock,273,317,437,415
Worth,406,419,430,450
Wrightwood,261,226,294,152
Zion,110,124,155,103
